187,Krytie na rany hydrogélové HydroTac transparent Comfort,"6,5x10 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,9.7
188,Askina Transorbent Border,rozmery: 9x14cm vonkajší; 5x10cm vnútorný,A8 Pomôcky na vlhké hojenie  rán,9.9
189,Hydrosorb Comfort  lepiaci okraj,"7,5 x 10 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,14.54
190,"Hydrosorb Comfort, lepiaci okraj","4,5x 6,5 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,9.06
191,Krytie na rany hydrogélové HydroTac transparent Comfort,"12,5x12,5 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,9.71
192,Krytie na rany hydrogélové HydroTac transparent Comfort,"10x20 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,1.57
193,Askina Transorbent Border,rozmery: 14x14cm vonkajší; 10x10cm vnútorný,A8 Pomôcky na vlhké hojenie  rán,14.35
194,Hydrosorb Comfort  lepiaci okraj,"12,5 x 12,5  cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,4.82
195,Kaltostat,"5 x 5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,13.49
196,Suprasorb A,"5x5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,3.11
197,Krytie kalciumalginátové Sorbalgon Classic,5 x 5 cm / 10 ks,A8 Pomôcky na vlhké hojenie  rán,7.52
198,Sorbalgon,"5 x 5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,2.31
199,Askina Sorb,"6x6 cm, á 15 ks",A8 Pomôcky na vlhké hojenie  rán,9.88
200,SUPRASORB A + AG,"5x5cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,7.22
201,Melgisorb Ag,"5x5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,11.48
202,SILVERCEL,"5x5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,7.48
203,Suprasorb A,"10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,2.85
204,Kaltostat,"7,5 x 12 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,12.39
205,Krytie kalciumalginátové Sorbalgon Classic,10 x 10 cm / 10 ks,A8 Pomôcky na vlhké hojenie  rán,6.49
206,Sorbalgon,"10 x 10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,13.93
207,Askina Sorb,"10x10 cm, á 15 ks",A8 Pomôcky na vlhké hojenie  rán,11.11
208,Melgisorb Ag,"10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,2.67
209,Obväz Askina Calgitrol THIN,"sterilný alginátový, so striebrom 10x10cm/10ks",A8 Pomôcky na vlhké hojenie  rán,5.7
210,SUPRASORB A + AG,"10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,8.34
211,Kaltostat,"15 x 25 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,13.21
212,Suprasorb A,"10x20 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,14.3
213,Kaltostat,"10 x 20 cm, á 10ks",A8 Pomôcky na vlhké hojenie  rán,7.2
214,SILVERCEL,"11x11cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,11.15
215,Melgisorb Ag,"20x30 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,3.72
216,Askina Sorb,"15x15 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,2.62
217,SUPRASORB A + AG,"10x20 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,8.57
218,Askina Calgitrol Ag,"15x15 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,8
219,Melgisorb Ag,"15x15 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,3.64
220,Krytie T kalciumalginátové Sorbalgon Classic (prúžky),5 x 30 cm / 5 ks,A8 Pomôcky na vlhké hojenie  rán,6.23
221,Askina Sorb,"2,7x 34 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,12.86
222,Melgisorb Ag,"3x44 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,9.35
223,Kaltostat cavity,5 x 2 g,A8 Pomôcky na vlhké hojenie  rán,8.59
224,Suprasorb A,"30 cm/2g, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,5.67
225,Kompres SORBALGON-T (prúžky) kalciumalginát,"30 cm/2g, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,7.89
226,SUPRASORB A + AG,"30 cm, á 5 ks, pás",A8 Pomôcky na vlhké hojenie  rán,4.72
227,AQUACEL Foam neadhezívne penové krytie na rany,"Hydrofiber 5x5 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,9.31
228,Krytie na rany penové hydropolymérové HydroTac,"6cm round/10ks, impregnované gelom",A8 Pomôcky na vlhké hojenie  rán,3.19
229,HydroTac,10 cm x 10 cm á 10 ks,A8 Pomôcky na vlhké hojenie  rán,3.28
230,Krytie penové vysoko absorpčné neadhezívne 3M TEGADERM,"10 x 10 cm, bal. 10 ks",A8 Pomôcky na vlhké hojenie  rán,12.47
231,Obväz silikónový MEPILEX LITE,"10 x 10 cm, mäkký, krytie na rany",A8 Pomôcky na vlhké hojenie  rán,3.74
232,Aquacel Ag foam  neadhezívne penové krytie na rany,"so striebrom, 10 x 10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,10.59
233,AQUACEL Foam neadhezívne  penové krytie na rany,"Hydrofiber 10x10 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,10.76
234,Obväz na ranu Allevyn Ag Gentle Border,"adhezív.polyuretanová pena, 10x10cm; á 10 ks",A8 Pomôcky na vlhké hojenie  rán,14.05
235,Tielle Non Adhesive,"10 x 10 cm, 10ks",A8 Pomôcky na vlhké hojenie  rán,10.54
236,HydroTac,20x20 cm 3 ks,A8 Pomôcky na vlhké hojenie  rán,3.22
237,AQUACEL Foam neadhezívne penové krytie,"20x20 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,3.4
238,Tielle Xtra,"11 x 11 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,7.62
239,Obväz hydropolymérový Mepilex XT 211400,"20 x 20 cm, nelepivý",A8 Pomôcky na vlhké hojenie  rán,9.26
240,HydroTac,10x20 cm 3 ks,A8 Pomôcky na vlhké hojenie  rán,12.83
241,HydroTac,"12,5 x 12,5 cm 10 ks",A8 Pomôcky na vlhké hojenie  rán,14.77
242,Aquacel  foam neadhezívne penové krytie na rany,"Hydrofiber 15x15 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,7.9
243,Aquacel Ag foam neadhezívne penové krytie na rany,"so striebrom, 15 x 15 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,9.2
244,Tielle Non Adhesive,"15 x 15 cm, 10 ks",A8 Pomôcky na vlhké hojenie  rán,6.74
245,Tielle Xtra,"15 x 15 cm, á 10 ks",A8 Pomôcky na vlhké hojenie  rán,5.2
246,Aquacel Ag foam  neadhezívne penové krytie na rany,"so striebrom, 20 x 20 cm, á 5 ks",A8 Pomôcky na vlhké hojenie  rán,12.43
247,HydroTac,15 cm x 20 cm á 10 ks,A8 Pomôcky na vlhké hojenie  rán,3.19
248,Obväz silikónový MEPILEX LITE,"15 x 15 cm, mäkký, krytie na rany",A8 Pomôcky na vlhké hojenie  rán,7.92
249,Obväz silikónový MEPILEX LITE,"20 x 50 cm, mäkký, krytie na rany",A8 Pomôcky na vlhké hojenie  rán,11.82
250,Krytie penové vysoko absorpčné neadhezívne 3M TEGADERM,"10 x 20 cm, bal. 5 ks",A8 Pomôcky na vlhké hojenie  rán,2.12
