549,"Iná povrchová mykóza, bližšie určená",Infekčné a parazitové choroby
550,"Povrchová mykóza, bližšie neurčená",Infekčné a parazitové choroby
551,Kandidová stomatitída,Infekčné a parazitové choroby
552,Pľúcna kandidóza,Infekčné a parazitové choroby
553,Kandidóza kože a nechtov,Infekčné a parazitové choroby
554,Kandidóza vulvy a pošvy (N77.1*),Infekčné a parazitové choroby
555,Kandidóza iných častí močovopohlavnej sústavy,Infekčné a parazitové choroby
556,Kandidová meningitída (G02.1*),Infekčné a parazitové choroby
557,Kandidová endokarditída (I39.8*),Infekčné a parazitové choroby
558,Kandidová sepsa,Infekčné a parazitové choroby
559,Kandidová ezofagitída,Infekčné a parazitové choroby
560,Kandidóza na iných miestach,Infekčné a parazitové choroby
561,"Kandidóza, bližšie neurčená",Infekčné a parazitové choroby
562,Akútna kokcidioidomykóza pľúc,Infekčné a parazitové choroby
563,Chronická kokcidioidomykóza pľúc,Infekčné a parazitové choroby
564,"Kokcidioidomykóza pľúc, bližšie neurčená",Infekčné a parazitové choroby
565,Kokcidioidomykóza kože,Infekčné a parazitové choroby
566,Kokcidioidomykotická meningitída (G02.1*),Infekčné a parazitové choroby
567,Diseminovaná kokcidioidomykóza,Infekčné a parazitové choroby
568,Iná forma kokcidioidomykózy,Infekčné a parazitové choroby
569,"Kokcidioidomykóza, bližšie neurčená",Infekčné a parazitové choroby
570,Akútna histoplazmóza pľúc zapríčinená Histoplasma capsulatum,Infekčné a parazitové choroby
571,Chronická histoplazmóza pľúc zapríčinená Histoplasma capsulatum,Infekčné a parazitové choroby
572,"Histoplazmóza pľúc zapríčinená Histoplasma capsulatum, bližšie neurčená",Infekčné a parazitové choroby
573,Diseminovaná histoplazmóza zapríčinená Histoplasma capsulatum,Infekčné a parazitové choroby
574,"Histoplazmóza zapríčinená Histoplasma capsulatum, bližšie neurčená",Infekčné a parazitové choroby
575,Histoplazmóza zapríčinená Histoplasma duboisii,Infekčné a parazitové choroby
576,"Histoplazmóza, bližšie neurčená",Infekčné a parazitové choroby
577,Akútna blastomykóza pľúc,Infekčné a parazitové choroby
578,Chronická blastomykóza pľúc,Infekčné a parazitové choroby
579,"Blastomykóza pľúc, bližšie neurčená",Infekčné a parazitové choroby
580,Blastomykóza kože,Infekčné a parazitové choroby
581,Diseminovaná blastomykóza,Infekčné a parazitové choroby
582,Iná forma blastomykózy,Infekčné a parazitové choroby
583,"Blastomykóza, bližšie neurčená",Infekčné a parazitové choroby
584,Parakokcidioidomykóza pľúc,Infekčné a parazitové choroby
585,Diseminovaná parakokcidioidomykóza,Infekčné a parazitové choroby
586,Iná forma parakokcidioidomykózy,Infekčné a parazitové choroby
